user,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
16128,18,23,6,8,33,8,5,58,16,0,2,4,6,25,8,12,3,0
16129,18,17,5,5,42,42,7,131,3,12,3,3,20,29,2,40,17,10
16130,35,51,18,21,31,16,0,23,23,0,1,4,8,8,21,19,2,0
16132,39,33,8,12,82,57,18,153,13,3,5,7,28,44,15,69,16,0
16133,33,17,7,3,28,44,0,83,13,2,6,4,22,14,19,46,10,1
16136,20,42,24,26,29,10,0,46,27,0,3,12,6,23,11,11,3,1
16137,74,89,56,50,95,29,2,132,58,0,9,22,22,88,64,52,8,2
16144,94,70,16,10,72,42,4,113,27,2,33,7,24,33,115,85,11,4
16148,19,14,3,2,21,11,0,50,9,0,6,0,8,9,17,20,15,1
16154,34,24,3,4,80,27,7,60,12,1,9,3,12,20,20,27,9,1
16157,107,53,10,15,142,93,4,207,26,4,18,14,20,51,57,101,13,5
16158,68,38,13,14,84,39,0,64,9,0,4,2,8,23,16,45,10,2
16161,74,70,33,20,45,31,2,86,31,0,8,3,13,23,41,46,18,4
16162,61,41,6,11,131,66,15,287,25,9,85,6,50,108,43,150,17,6
16163,110,72,11,9,77,85,1,164,21,3,19,4,40,34,68,120,20,6
16167,104,88,36,39,133,80,5,153,40,5,20,19,32,41,57,108,13,3
16174,169,167,39,61,264,81,5,206,74,4,42,30,43,101,106,149,17,10
16178,35,23,9,8,25,23,0,36,10,1,11,1,15,9,30,34,3,5
16181,20,19,6,4,14,14,0,29,13,0,1,0,6,10,9,15,6,0
16182,14,8,1,1,13,26,0,51,6,0,11,2,9,11,4,26,13,1
16188,45,27,3,4,29,37,1,76,9,0,2,1,12,19,13,38,12,1
16189,105,85,37,38,132,53,7,169,51,3,5,18,21,66,45,80,18,9
16193,138,68,3,2,24,25,1,44,17,0,10,0,13,8,72,88,12,1
16204,5,22,24,24,21,4,1,15,16,0,1,4,2,5,3,6,2,0
16216,54,29,17,11,54,67,7,135,18,13,16,7,33,25,57,77,10,3
16221,50,12,0,0,3,31,0,36,0,0,0,0,5,1,2,49,9,5
16227,88,47,10,7,92,60,1,57,12,2,16,3,19,15,37,68,8,3
16231,20,46,35,36,71,12,1,68,26,0,1,11,5,34,20,17,2,0
16232,4,10,3,3,17,9,0,31,5,0,4,2,5,9,7,9,4,2
16233,10,18,8,14,27,2,1,30,19,0,3,9,3,14,9,9,4,0
16236,55,42,11,13,80,40,1,74,20,3,3,8,12,39,22,35,9,5
16244,15,20,8,15,35,17,0,27,13,1,2,11,7,14,6,13,2,0
16253,29,30,14,13,98,55,0,156,34,2,13,18,24,71,20,43,16,2
16255,56,44,9,14,67,49,1,119,22,5,9,4,20,32,22,49,21,4
16258,17,23,7,9,42,8,0,26,18,0,7,8,4,18,11,9,3,1
16261,51,72,17,32,68,11,0,43,58,0,5,24,6,33,28,20,2,2
16262,52,36,4,5,17,20,1,30,10,0,4,2,9,3,26,28,10,1
16268,7,5,3,6,56,9,0,37,4,0,0,6,5,44,0,9,6,5
16270,23,8,1,2,24,20,3,56,5,0,2,2,6,29,9,29,6,0
16271,47,28,8,9,40,26,0,46,8,0,2,1,5,17,13,29,18,0
16275,25,12,1,1,14,20,0,17,6,1,3,0,9,3,12,22,5,0
16280,34,34,6,5,48,19,2,97,18,4,11,10,21,33,33,41,10,4
16284,22,17,4,5,55,24,0,115,22,0,22,3,30,55,11,59,4,0
16291,32,35,9,11,24,9,2,17,14,1,5,2,6,5,25,23,1,1
16301,20,14,2,3,61,59,16,192,10,6,3,2,22,35,7,44,14,2
16303,26,30,9,17,147,54,1,229,26,6,14,25,31,107,13,52,17,4
16310,76,57,22,27,113,43,2,48,26,0,2,7,12,24,39,37,8,2
16313,37,24,1,0,25,24,0,41,10,2,11,3,18,8,36,38,1,0
16318,40,32,8,9,39,22,0,29,16,1,4,2,11,11,21,32,6,3
16325,21,21,6,8,33,20,2,72,13,1,3,4,14,24,8,30,5,0
16333,18,10,2,3,10,12,0,35,4,0,6,1,6,16,8,12,4,3
16348,36,30,21,14,29,21,0,54,24,6,28,14,28,10,25,46,2,5
16349,50,25,6,4,19,36,1,68,5,3,11,1,15,9,25,62,8,2
16351,85,61,6,8,120,78,6,157,41,6,15,8,28,44,43,72,14,10
16356,8,7,10,8,35,19,35,66,8,3,2,2,4,10,3,11,9,7
16357,17,19,9,9,27,3,0,16,6,0,10,7,4,15,19,5,0,0
16361,22,21,4,8,34,16,2,103,9,0,5,5,9,37,10,26,9,6
16367,33,27,7,7,21,10,0,23,8,1,3,2,6,9,17,22,6,2
16370,35,35,8,10,62,27,1,108,25,1,5,5,14,55,22,35,11,3
16372,7,6,0,0,32,8,0,32,2,0,1,2,3,22,5,12,1,0
16380,28,34,16,16,51,28,3,77,15,1,7,5,17,33,12,26,6,4
16381,34,28,1,3,5,11,0,19,18,1,0,0,7,6,11,23,5,2
16383,86,124,99,120,158,36,3,141,91,2,11,48,19,82,43,51,9,4
16394,107,132,68,81,93,34,7,132,95,0,16,36,25,56,70,73,12,2
16395,17,30,13,18,55,10,0,32,33,4,0,16,13,60,9,17,2,2
16396,10,8,8,7,22,16,2,40,7,0,4,1,7,17,4,13,6,0
16398,29,22,12,16,50,21,4,37,10,2,1,11,10,17,9,23,1,1
16401,40,44,20,16,24,9,0,10,24,0,1,8,5,10,30,19,2,2
16404,12,12,4,2,21,18,6,40,6,3,1,3,11,16,7,24,2,0
16409,46,49,13,16,40,5,0,32,27,1,7,11,6,19,35,22,6,5
16410,26,26,10,15,34,17,0,42,18,0,2,7,12,16,8,20,6,1
16417,71,35,5,5,48,46,0,84,15,2,13,2,14,22,25,54,5,9
16419,84,72,13,15,53,31,0,46,31,1,2,5,16,25,33,54,7,7
16423,13,10,4,2,22,7,0,27,6,0,1,5,3,11,3,10,5,2
16436,28,18,4,1,14,24,4,56,7,1,5,1,9,12,10,22,13,4
16440,42,36,9,9,71,53,0,129,13,6,10,6,21,52,22,54,15,3
16442,12,13,4,3,13,13,1,24,7,1,0,0,9,8,4,14,4,1
16444,6,7,2,1,17,12,0,35,10,0,2,2,7,13,4,15,6,1
16452,13,17,7,12,29,7,2,33,8,0,0,5,5,19,7,14,2,2
16454,52,47,12,12,76,27,5,58,27,2,4,7,5,26,18,32,3,1
16461,69,64,4,5,18,9,0,8,15,0,2,2,3,4,31,45,2,0
16462,35,34,0,5,32,14,2,61,12,0,2,5,4,24,23,24,5,1
16472,63,32,1,4,68,47,0,107,11,2,3,0,18,30,20,51,11,7
16473,6,5,1,1,18,7,1,47,5,0,0,0,1,24,0,2,5,0
16501,61,41,4,4,26,29,0,65,16,1,11,1,23,13,42,58,3,5
16509,123,94,34,51,132,32,0,87,53,1,65,22,24,32,69,78,29,6
16523,28,35,8,10,22,10,0,16,15,2,0,3,7,15,13,18,2,0
16524,10,11,5,7,31,8,0,27,12,0,1,2,3,15,9,13,1,2
16528,26,25,3,4,15,12,0,20,12,0,13,1,5,7,12,22,4,0
16532,72,67,32,28,98,36,5,142,40,2,21,13,25,37,62,56,24,1
16533,509,229,45,48,151,157,2,223,115,2,260,7,114,37,226,466,27,8
16535,9,16,6,3,16,9,0,45,12,0,2,1,9,17,6,10,10,0
16536,26,23,8,9,19,15,0,40,12,0,1,1,6,13,10,12,6,1
16537,24,11,2,0,18,31,1,31,5,2,1,1,9,4,4,26,5,0
16539,15,6,0,0,15,16,0,31,6,1,4,0,10,7,10,21,5,1
16545,17,9,2,1,12,11,1,26,4,0,1,1,7,4,13,16,6,0
16551,65,61,18,15,153,141,4,604,57,40,58,15,98,155,33,175,67,13
16553,7,7,3,2,12,16,4,43,10,5,9,1,8,8,9,21,2,1
16555,66,50,27,16,51,40,7,121,26,5,8,2,27,34,64,60,8,6
16556,16,10,0,0,11,17,1,44,1,3,3,0,3,4,6,20,10,4
16558,3,9,0,2,47,7,11,88,4,0,0,9,5,40,1,4,4,1
16580,29,24,5,4,34,15,0,25,10,1,1,1,7,9,15,17,1,2
16581,91,56,15,10,140,102,17,279,29,11,29,18,49,61,33,124,45,15
16589,13,5,0,0,8,18,2,49,4,4,1,0,10,12,8,22,7,2
16590,25,19,4,4,7,12,0,16,6,1,3,1,7,3,12,19,5,0
16592,38,29,11,10,26,16,1,34,21,2,11,7,12,19,32,30,5,0
16606,45,44,18,20,194,70,12,450,33,4,10,15,49,166,25,102,27,6
16612,40,36,10,22,148,46,2,174,35,0,87,27,22,63,38,88,13,2
16615,52,31,4,4,16,30,1,64,5,4,9,3,13,12,33,35,13,8
16617,38,26,7,7,47,36,0,74,13,1,6,3,14,29,18,45,12,0
16624,31,44,19,25,53,12,1,37,27,0,7,13,8,17,40,21,2,2
16625,33,22,5,9,16,22,0,38,9,0,4,0,2,5,11,17,6,2
16630,16,17,0,1,36,20,2,64,18,2,2,1,18,20,26,34,5,0
16635,36,25,10,4,32,24,9,75,17,1,7,2,11,15,13,35,13,1
16643,22,13,1,1,6,12,0,24,3,0,2,0,2,7,10,16,4,1
16644,50,29,1,2,37,42,0,91,6,2,8,3,17,37,17,60,12,3
16648,22,18,8,4,15,11,0,18,11,0,4,3,7,6,14,14,0,0
16667,25,14,11,5,9,17,0,22,6,0,2,0,6,3,8,13,5,1
16670,113,67,22,23,65,62,1,135,27,6,22,14,26,25,53,91,33,7
16676,157,100,30,33,213,90,10,349,73,5,17,10,33,151,72,122,33,21
16677,27,14,0,0,20,38,0,54,3,1,8,0,10,13,10,36,6,5
16680,79,49,27,17,42,47,1,83,22,1,10,3,16,25,28,61,13,6
16687,24,18,5,4,29,20,3,54,8,1,3,5,5,18,12,18,4,3
16691,107,102,38,39,56,23,1,64,62,2,19,10,12,21,79,61,6,1
16693,253,158,37,38,147,117,6,224,50,3,46,6,51,52,164,197,44,11
16695,60,26,1,1,24,59,1,73,13,2,3,0,24,7,20,67,8,2
16696,70,34,2,4,23,42,0,99,13,1,23,3,42,25,57,124,1,1
16697,30,18,1,0,10,11,0,17,8,1,10,0,8,4,35,29,0,2
16700,16,31,16,24,33,3,0,25,16,0,1,9,2,22,15,4,4,1
16701,105,86,42,41,102,27,0,48,46,0,40,23,8,33,73,63,5,2
16706,4,11,4,5,27,12,1,25,6,0,2,1,2,20,0,6,4,0
16711,14,14,8,13,25,8,0,25,12,0,3,8,3,12,7,12,3,0
16713,22,12,0,0,10,27,0,44,5,3,4,0,13,6,5,27,4,6
16714,57,42,10,17,56,31,1,55,20,1,2,9,11,38,26,49,2,0
16717,46,60,21,34,115,34,5,133,47,2,8,19,26,77,36,52,7,3
16721,29,34,11,16,47,16,0,62,26,0,9,10,8,32,20,21,10,0
16724,245,176,47,48,169,76,20,162,93,3,47,16,35,57,154,151,27,6
16732,118,81,6,11,63,29,1,73,23,0,9,2,13,31,48,51,17,4
16734,43,37,13,9,50,52,3,118,18,4,10,4,21,41,19,60,13,4
16736,15,11,2,2,12,15,0,26,2,2,2,2,7,7,8,21,4,0
16739,12,7,2,2,20,9,0,24,1,0,0,0,3,11,9,10,1,0
16740,14,17,6,4,17,9,1,30,8,1,0,3,4,9,10,13,2,2
16743,20,21,10,8,32,18,0,57,13,4,6,13,16,27,14,25,6,1
16745,24,26,12,2,55,50,27,126,11,14,24,6,21,16,14,43,4,9
16746,21,9,1,1,13,22,2,49,6,1,12,0,13,7,4,34,6,3
16755,33,40,11,13,28,10,0,27,23,0,3,8,9,29,19,20,5,1
16761,13,17,8,6,32,18,0,64,20,2,80,4,38,13,18,71,3,0
16766,57,38,22,20,87,41,1,66,32,1,14,12,16,32,36,47,5,0
16771,53,28,2,3,35,35,0,75,10,1,6,0,16,27,20,46,9,0
16775,84,54,23,12,41,38,1,69,23,2,16,2,30,18,56,71,10,2
16779,48,40,6,8,48,16,2,84,15,0,8,6,7,56,28,41,8,1
16785,256,176,48,46,210,125,7,265,104,6,109,16,72,75,151,275,35,7
16796,47,32,1,2,6,15,0,34,10,0,5,0,11,11,32,26,10,2
16811,8,21,9,15,33,10,1,40,14,0,2,7,4,15,4,9,1,0
16813,54,25,9,7,53,46,3,59,15,1,15,2,23,12,27,57,8,2
16821,25,16,0,4,6,8,0,22,1,1,3,0,4,3,24,20,4,1
16824,230,182,89,63,199,64,13,148,89,3,37,26,32,73,159,133,16,6
16835,39,26,6,9,89,19,1,65,21,0,18,5,10,39,20,37,10,3
16845,31,22,4,3,27,11,0,21,8,0,0,1,2,15,7,17,7,3
16846,31,42,10,16,50,12,3,33,26,1,6,9,5,16,25,21,1,2
16847,18,23,12,7,10,13,8,41,18,3,3,2,5,13,14,17,6,2
16850,29,22,7,4,19,26,1,62,9,0,4,1,11,14,17,33,6,0
16854,25,20,7,7,9,10,0,20,3,0,2,2,1,6,12,15,7,1
16861,53,53,9,15,68,32,0,72,41,0,37,7,18,39,26,56,7,5
16865,40,29,9,5,40,30,3,75,16,1,5,6,11,32,18,41,8,1
16873,18,21,6,9,34,19,0,56,13,0,1,2,10,33,12,23,5,2
16881,125,81,30,32,93,102,4,239,36,1,22,8,58,72,63,159,26,7
16883,51,39,16,10,64,41,5,68,15,1,4,5,19,20,27,47,12,2
16900,17,14,3,4,19,9,0,19,5,0,2,1,3,8,3,6,8,0
16918,12,6,0,0,30,12,0,32,4,1,6,0,8,27,6,21,4,0
16920,26,14,8,2,28,42,13,154,8,5,1,2,34,27,21,58,25,3
16924,8,4,0,0,16,14,5,60,3,3,3,1,5,16,4,16,2,2
16931,51,31,3,6,38,61,1,84,19,5,23,5,25,19,28,68,8,7
16935,101,55,4,4,70,51,2,97,19,1,12,3,18,36,43,86,19,4
16936,86,62,27,22,131,63,1,110,43,3,22,19,32,36,76,102,16,3
16938,648,355,80,100,536,291,13,679,155,10,118,43,100,242,268,484,92,32
16943,70,55,17,16,69,29,2,100,29,2,7,3,19,58,46,69,9,0
16955,47,40,7,8,120,58,20,194,23,10,23,19,32,65,30,64,24,5
16956,56,43,15,14,57,46,3,73,18,8,9,7,18,25,26,56,6,2
16972,13,21,9,13,39,12,1,74,15,0,7,5,10,34,14,15,15,0
16974,128,102,33,27,95,42,0,78,46,1,22,13,21,32,75,76,10,2
16977,22,21,6,9,75,39,7,126,19,4,11,9,15,50,8,32,8,4
16978,53,71,46,59,117,48,10,175,53,4,13,19,28,84,39,56,17,4
16990,63,63,24,25,22,16,0,42,26,0,6,10,6,16,28,25,6,1
16999,10,8,5,4,13,19,3,47,3,4,5,2,6,5,4,18,10,1
17002,43,20,5,5,17,36,0,49,9,0,2,0,10,5,12,47,12,4
17006,55,29,7,7,19,39,2,76,11,0,8,4,12,14,20,37,17,3
17014,54,75,60,76,173,40,0,154,53,1,7,24,17,126,27,62,5,2
17017,30,18,1,1,9,6,0,22,7,0,4,1,6,8,30,17,4,1
17022,82,86,40,42,263,115,9,363,52,23,19,29,57,142,33,120,45,22
17026,11,11,2,3,12,13,0,40,4,0,0,1,4,10,4,11,6,1
17029,16,40,29,36,66,10,1,69,28,1,3,22,5,50,10,12,8,0
17030,13,10,5,4,10,13,7,25,4,0,0,0,4,5,5,13,5,1
17031,50,38,9,12,38,14,0,29,16,1,3,4,10,13,30,24,3,0
17035,115,90,33,31,126,44,10,114,58,2,26,9,24,49,65,81,16,3
17039,28,25,5,5,19,25,2,52,10,6,7,2,17,6,16,33,8,6
17040,129,97,49,26,251,134,28,636,62,8,52,19,70,180,75,199,54,14
17042,70,72,22,29,121,54,9,202,33,5,17,22,24,60,48,71,31,9
17043,38,22,1,2,35,43,0,91,12,5,22,1,14,13,27,43,17,5
17046,5,11,8,10,42,5,0,11,8,0,2,2,1,13,5,8,1,0
17054,52,36,8,10,23,17,0,41,10,0,6,3,8,15,19,30,10,5
17058,36,30,16,20,137,37,4,114,25,1,7,8,10,69,15,33,3,4
17060,9,6,1,1,18,15,1,29,4,1,2,1,5,11,5,13,1,2
17062,109,59,7,10,64,77,3,167,26,3,37,10,36,34,42,115,32,5
17074,37,26,8,9,26,26,0,26,11,1,3,3,8,8,17,30,4,1
17078,104,80,19,16,85,95,7,244,29,4,23,10,48,59,78,130,34,7
17083,20,33,9,10,94,16,9,44,21,0,4,6,13,40,21,19,2,1
17085,16,27,16,23,22,10,0,27,16,1,5,6,7,4,9,11,2,1
17089,26,14,1,6,26,27,0,37,6,0,0,1,5,11,8,23,2,3
17090,15,8,2,0,20,26,6,42,7,6,10,0,14,9,14,28,5,3
17093,45,37,8,11,25,15,0,31,14,1,6,4,9,14,25,34,3,0
17101,81,69,20,23,64,24,0,64,39,1,18,13,15,48,46,53,12,0
17102,44,15,2,1,10,18,0,19,2,0,2,0,5,0,9,25,8,1
17106,11,7,0,1,22,19,0,30,5,1,4,1,8,9,14,17,4,0
17107,31,34,17,13,36,20,1,41,19,3,6,2,9,18,16,26,7,3
17112,71,81,43,48,59,24,1,61,41,1,27,22,17,36,47,50,7,2
17115,75,37,4,5,83,64,6,115,18,2,10,0,20,39,41,89,6,0
17120,16,5,2,2,9,17,0,28,2,0,3,0,9,5,7,20,4,0
17121,37,21,4,5,23,33,0,45,7,0,2,3,11,4,12,36,9,1
17122,29,17,3,3,39,18,0,16,3,0,4,4,6,4,10,23,3,0
17127,218,77,1,10,217,151,11,260,31,1,71,8,50,68,76,212,20,6
17133,43,61,33,33,101,36,4,86,42,1,6,16,19,34,37,42,8,5
17136,46,41,19,14,49,32,5,83,19,1,2,5,21,26,27,49,9,2
17138,24,17,7,7,45,27,0,53,15,1,5,3,10,27,15,27,4,2
17150,35,18,0,0,25,25,1,33,7,3,1,0,9,17,3,31,2,1
17154,15,9,4,3,11,13,0,26,3,0,5,4,4,9,7,18,3,0
17158,7,7,4,5,12,14,0,32,4,0,2,3,5,12,3,12,6,2
17159,12,19,4,11,24,3,0,15,4,0,0,7,4,19,11,5,1,4
17163,134,105,29,32,232,86,11,234,45,4,29,21,42,92,74,134,23,11
17165,25,17,0,0,10,10,0,19,5,0,5,0,8,9,11,23,2,2
17173,13,15,8,10,35,13,1,28,12,2,6,7,7,12,6,11,5,1
17176,100,92,48,36,165,85,10,337,61,5,16,16,50,130,46,118,44,7
17179,62,26,8,7,52,48,2,90,7,3,31,5,25,21,25,82,12,1
17183,7,20,15,32,46,6,0,8,19,0,0,4,2,10,2,1,0,0
17184,36,47,17,23,37,12,0,52,28,0,3,8,9,36,19,29,7,3
17185,52,55,33,31,73,35,3,111,33,0,5,15,21,35,34,58,14,2
17187,51,45,7,10,40,12,1,50,18,0,5,7,11,25,30,37,5,1
17192,48,27,6,6,38,48,2,70,11,3,2,1,19,10,23,51,6,4
17197,13,22,15,10,23,7,0,18,12,2,7,2,5,6,29,12,4,0
17202,13,10,3,2,17,11,1,22,1,0,5,0,2,1,12,10,4,0
17205,32,25,6,9,29,17,0,44,13,0,1,4,10,16,21,26,4,1
17207,26,25,12,5,68,43,3,86,22,4,10,5,32,26,24,52,4,1
17210,11,13,8,17,34,10,0,32,8,0,0,1,0,17,2,9,1,0
17215,46,32,5,6,11,23,1,33,10,0,7,1,9,4,21,28,6,0
17217,53,42,17,11,65,47,0,107,18,8,16,8,32,25,35,68,11,5
17218,25,15,1,3,23,19,0,68,5,0,3,0,4,24,2,21,20,7
17231,23,6,0,0,9,21,0,24,0,1,3,0,8,4,9,24,4,0
17232,19,22,6,21,49,8,0,38,9,0,2,9,4,34,9,11,3,0
17235,12,7,0,0,20,26,2,46,3,2,1,0,8,6,3,21,6,0
17242,57,57,12,23,91,19,3,84,28,0,3,11,4,60,27,34,9,0
17243,21,25,12,11,23,8,0,33,14,0,2,2,6,15,13,14,3,1
17244,93,70,11,12,33,28,0,63,35,0,10,1,11,26,42,55,15,2
17252,22,22,6,10,25,7,1,16,7,0,4,1,0,13,13,17,3,3
17255,49,35,2,3,30,28,0,41,12,1,6,2,8,10,17,35,12,0
17259,26,15,1,1,21,37,0,60,4,6,4,1,9,11,10,40,10,2
17261,5,4,0,5,19,6,0,37,1,0,1,2,0,19,6,7,4,0
17263,11,27,20,20,24,19,1,73,25,2,10,10,10,21,16,25,4,0
17273,26,25,8,11,44,21,0,36,10,1,3,5,11,25,8,31,2,1
17274,58,58,12,15,90,34,1,62,26,1,6,6,14,30,30,49,3,4
17277,17,8,2,2,20,14,0,18,5,1,4,1,4,5,7,21,2,1
17278,11,10,0,0,15,12,0,23,2,2,2,0,7,9,5,17,4,0
17281,34,31,9,7,24,17,2,35,8,1,6,5,7,7,40,15,3,5
17285,21,23,18,13,25,18,2,67,21,0,7,7,7,35,7,17,11,0
17288,9,19,10,7,45,16,6,57,10,0,6,2,7,16,6,18,6,1
17292,14,19,3,3,12,1,0,15,2,0,12,1,7,4,40,20,0,1
17298,4,9,3,4,21,6,0,43,3,0,0,3,5,17,2,11,3,1
17301,28,21,8,6,23,13,3,27,10,0,8,4,3,3,15,17,5,0
17303,20,22,4,5,22,28,2,86,17,0,2,2,9,19,14,33,5,1
17304,39,22,2,1,27,19,1,33,14,0,16,2,13,12,23,40,1,0
17305,21,15,13,22,52,14,0,60,16,0,1,20,6,56,5,22,10,1
17313,30,9,2,2,7,18,0,33,4,1,1,1,9,8,14,28,5,2
17318,68,86,28,40,111,26,5,94,48,0,11,22,14,50,41,46,6,1
17319,93,72,17,14,178,110,23,363,31,5,3,5,55,126,64,120,33,8
17320,73,72,29,12,106,58,4,156,47,7,32,11,45,48,86,91,15,7
17325,15,14,9,9,21,7,0,15,6,1,0,4,4,9,7,10,4,0
17327,31,31,4,1,36,64,10,159,15,20,21,2,42,30,24,69,21,6
17328,30,30,16,13,43,29,4,77,19,3,6,6,19,23,24,33,5,1
17333,41,26,10,7,87,53,10,265,24,5,6,19,24,113,15,65,36,5
17341,13,12,7,5,27,29,0,59,7,1,1,0,4,13,3,14,8,6
17348,73,89,59,47,92,47,14,141,69,1,11,18,27,38,67,79,11,1
17354,4,4,3,3,24,11,9,31,3,0,4,1,7,5,5,13,1,0
17357,136,117,56,56,131,58,5,169,88,1,78,25,59,56,122,160,8,2
17358,1,5,1,1,15,13,2,56,2,0,2,0,6,12,2,8,9,0
17361,12,24,3,9,53,13,4,84,19,0,3,8,7,41,11,13,3,0
17365,14,9,0,0,7,10,5,26,3,0,2,0,4,3,11,11,2,1
17367,31,34,17,9,21,7,0,19,19,0,2,0,2,11,26,10,3,1
17370,44,17,2,6,39,56,1,84,7,2,6,1,19,28,17,57,12,0
17375,72,66,27,54,125,16,3,40,41,2,23,13,13,22,43,41,8,1
17380,12,9,5,4,27,26,0,58,14,2,9,2,9,28,6,27,6,1
17388,36,45,24,33,52,13,1,42,31,0,14,16,7,22,16,27,4,0
17394,56,45,15,18,59,25,1,55,32,1,8,3,9,37,23,32,6,1
17399,35,28,6,5,30,22,3,47,14,2,6,3,11,11,19,31,5,3
17404,13,20,5,6,25,7,0,29,9,0,2,3,6,13,5,11,4,0
17409,13,9,4,3,14,12,1,24,6,2,3,5,6,5,12,14,2,1
17427,31,21,3,4,20,34,0,51,9,3,5,0,16,17,10,39,7,3
17428,30,26,12,11,67,24,1,47,13,0,6,4,6,30,13,18,13,0
17430,46,38,4,7,16,20,3,51,12,1,6,3,14,13,25,36,5,1
17431,12,11,1,1,13,13,0,26,3,1,2,1,8,9,7,14,3,1
17433,38,33,3,3,27,9,5,33,23,1,4,0,6,13,10,13,6,9
17434,75,53,6,7,53,64,1,89,19,7,22,3,29,25,37,79,9,0
17435,56,49,13,10,80,43,4,91,30,5,15,2,22,29,34,55,5,4
17437,98,90,28,35,77,29,4,80,39,0,7,14,10,43,46,52,13,3
17446,31,16,2,2,14,19,1,38,7,2,8,0,10,12,16,38,5,0
17453,42,18,1,1,34,26,0,31,3,0,1,1,8,10,11,31,2,1
17467,34,30,4,5,21,20,1,55,9,1,3,2,10,17,16,29,16,5
17469,33,28,5,7,21,19,0,27,15,1,2,0,9,12,20,27,4,1
17471,9,3,1,0,21,12,0,35,3,0,3,1,4,15,7,8,5,0
17475,72,65,39,12,56,30,1,143,50,4,13,14,30,46,120,78,6,1
17479,25,24,10,9,19,19,1,31,5,1,2,1,11,4,10,28,3,3
17481,41,46,7,8,22,22,0,51,17,0,7,3,10,10,23,26,13,2
17482,9,8,3,3,15,15,1,32,5,2,1,1,6,7,4,16,5,1
17488,36,23,12,8,27,28,9,64,14,2,6,3,15,16,21,36,4,4
17489,25,22,7,8,31,20,2,40,8,1,3,3,8,14,13,21,5,2
17493,53,57,23,28,124,49,3,110,31,3,6,13,27,48,37,45,11,3
17503,10,15,6,8,29,22,16,56,9,5,1,5,10,11,8,25,5,5
17507,90,54,14,18,63,33,0,46,23,0,10,6,9,17,36,48,15,2
17508,89,70,3,8,58,30,0,66,20,2,7,4,13,27,57,64,9,3
17509,39,21,1,4,51,26,1,70,17,1,10,1,9,28,20,38,11,1
17510,68,46,6,5,37,47,5,88,12,2,4,1,25,16,39,64,17,4
17511,38,30,8,9,38,23,3,47,17,1,1,6,6,20,16,26,7,1
17516,154,117,27,45,121,55,1,90,64,4,51,19,29,40,78,133,10,5
17518,26,24,7,10,57,28,1,67,23,0,13,9,9,27,17,31,7,0
17522,49,18,2,1,20,19,0,20,5,0,13,0,7,2,30,30,1,1
17527,62,45,11,11,65,36,3,58,20,2,13,2,15,24,25,50,11,0
17536,94,80,20,20,163,91,25,297,55,23,28,30,42,109,51,95,35,7
17540,151,125,21,33,139,170,10,465,43,35,26,14,77,109,58,217,66,44
17543,16,16,0,3,35,16,0,32,11,0,2,1,8,7,18,18,4,2
17552,78,44,12,12,69,62,2,106,18,3,11,1,29,35,39,84,10,3
17560,38,22,3,5,39,43,5,64,8,2,7,3,23,12,23,48,8,2
17564,57,31,0,0,34,80,2,150,7,24,11,2,47,41,12,91,27,16
17570,28,21,6,7,14,19,0,21,11,0,2,0,3,6,9,20,2,2
17571,60,78,47,32,130,44,17,210,51,7,5,8,31,73,63,65,25,8
17579,16,7,4,4,23,13,2,23,5,0,2,1,3,8,7,11,2,3
17583,11,9,1,1,10,19,0,29,2,1,3,0,8,3,10,20,6,1
17597,37,23,3,3,34,26,8,74,11,1,6,0,14,18,31,36,15,0
17602,3,32,19,31,90,4,4,47,25,0,0,8,1,60,2,1,1,0
17604,37,35,17,22,105,43,7,105,34,2,15,15,19,63,29,44,12,0
17605,11,13,2,3,14,9,1,60,2,1,0,2,4,19,3,11,10,1
17608,55,52,27,32,55,45,1,88,22,1,3,13,16,30,25,56,12,3
17609,29,24,20,12,23,5,0,11,29,0,15,1,6,8,19,23,0,0
17610,55,47,14,21,58,19,0,41,23,0,7,8,6,25,20,31,4,1
17616,11,12,2,2,24,17,6,57,4,0,1,2,5,19,3,20,4,9
17617,36,43,10,10,26,28,2,67,19,2,8,1,10,12,20,31,14,3
17623,22,15,6,8,31,13,0,35,7,0,2,1,0,7,10,11,9,3
17630,74,74,18,33,128,49,1,146,37,1,6,15,14,57,37,66,25,5
17635,59,45,19,16,55,27,2,71,27,1,3,2,16,29,22,37,17,0
17638,6,5,2,1,38,10,3,44,3,0,3,0,5,8,7,10,6,0
17640,100,66,19,19,109,82,5,180,36,7,39,12,46,55,63,113,13,9
17654,22,10,4,6,41,21,0,34,2,0,1,2,4,11,6,15,8,1
17660,24,24,7,12,29,16,4,43,19,0,9,5,5,13,20,16,5,0
17661,21,24,5,6,41,6,0,38,9,2,2,4,9,50,2,19,8,7
17662,23,15,2,1,24,14,2,28,5,0,2,1,6,11,12,20,4,0
17667,71,49,5,6,29,33,0,52,19,2,8,1,16,16,39,53,2,6
17676,17,29,21,22,32,9,1,42,22,0,2,7,1,24,8,10,7,2
17680,20,24,1,3,28,26,1,72,6,14,3,5,17,24,7,23,15,8
17683,102,66,15,13,172,140,19,486,40,15,27,13,65,162,52,170,42,14
