writer,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
nm0005390,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0005421,2,0,0,0,4,2,0,4,0,0,0,0,0,2,0,1,0,0
nm0005436,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0
nm0005450,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
nm0005540,2,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0
nm0005541,1,0,0,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0
nm0005562,0,1,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0
nm0006249,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0006256,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1
nm0006445,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0
nm0006487,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0
nm0006498,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0006512,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0
nm0006516,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
nm0006534,3,1,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0
nm0006554,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
nm0006664,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
nm0006845,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
nm0006854,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0
nm0006872,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3
nm0006894,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0
nm0006902,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
nm0006904,5,1,0,0,1,4,0,7,0,0,0,0,2,3,1,10,0,0
nm0006997,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
nm0007082,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0
nm0007139,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0007140,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
nm0007158,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0
nm0007182,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0
nm0007186,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1
nm0007233,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
nm0007399,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
nm0007973,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
nm0008743,2,1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0009190,2,2,0,0,0,0,0,2,0,0,0,0,1,2,3,4,0,0
nm0009766,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
nm0010004,1,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0010338,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
nm0010930,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
nm0011470,0,7,5,5,5,0,0,0,6,0,0,1,0,1,0,0,0,0
nm0011623,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0
nm0012137,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0
nm0012496,0,1,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0
nm0012938,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0
nm0013996,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0014960,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,3,0,0
nm0015359,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0
nm0015399,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0
nm0015801,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0
nm0016628,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0
nm0017274,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
nm0017301,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
nm0017305,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
nm0017855,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0018311,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
nm0018735,1,1,0,2,5,0,0,4,1,0,1,0,0,0,0,1,0,0
nm0019732,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
nm0020820,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0021249,0,5,5,5,4,0,0,0,1,0,0,2,0,0,0,0,0,0
nm0021363,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
nm0021899,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,1,0,0
nm0023355,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,2,0,0
nm0023395,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
nm0024388,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
nm0024622,0,1,0,0,0,0,0,5,0,0,2,0,2,3,2,4,0,0
nm0024847,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
nm0024856,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0
nm0024925,2,3,0,0,0,1,0,4,1,1,0,0,0,1,0,1,1,0
nm0026153,0,1,4,3,2,0,0,1,3,0,0,4,0,3,0,0,0,0
nm0026442,0,0,0,0,1,1,0,2,0,0,1,0,0,2,1,2,0,0
nm0026862,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0
nm0027011,0,4,8,9,2,1,0,2,1,0,0,5,0,1,0,0,0,0
nm0027173,2,1,0,0,0,1,0,7,0,2,0,0,1,2,0,4,1,0
nm0027271,7,1,0,0,0,0,0,0,0,0,6,0,0,0,7,6,0,0
nm0027459,1,4,5,5,3,0,0,1,1,0,0,0,0,0,1,0,0,0
nm0027572,0,4,1,1,8,2,0,5,1,0,0,0,0,2,0,0,0,0
nm0027815,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
nm0028636,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
nm0028764,2,3,3,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0
nm0029125,0,0,0,0,3,0,0,4,0,0,0,0,0,2,0,0,0,0
nm0030019,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1
nm0030417,4,0,4,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0
nm0030663,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0
nm0031033,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
nm0031976,1,0,0,1,8,2,0,3,0,0,0,1,0,2,0,0,0,0
nm0033153,2,1,0,0,0,1,0,3,0,0,0,0,0,0,1,2,0,0
nm0033490,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0
nm0033578,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0033780,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
nm0035905,1,0,0,0,7,2,0,1,0,0,0,0,0,1,0,1,0,0
nm0036349,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0036714,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0037247,0,1,0,0,0,2,0,4,0,0,0,0,1,1,0,3,0,0
nm0038432,0,1,2,2,1,0,0,0,2,0,0,1,0,2,0,0,0,0
nm0039141,0,0,1,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0
nm0040022,1,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
nm0040362,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nm0040575,0,0,0,0,2,1,0,1,1,0,0,0,1,1,0,1,0,0
nm0040643,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
nm0041864,3,3,3,2,7,2,0,2,3,0,2,1,1,2,1,1,0,0
nm0043233,2,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
nm0043480,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,1,0
nm0043742,6,0,0,0,0,5,0,5,0,0,0,0,0,0,0,6,2,0
nm0044156,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0045209,3,0,0,0,4,2,0,1,1,0,0,1,0,1,0,0,0,0
nm0045301,3,0,0,0,3,3,0,1,0,0,0,0,0,0,0,2,0,0
nm0045870,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0046943,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,1,0
nm0047259,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
nm0047916,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0048276,0,1,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
nm0049371,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,3,0,0
nm0049721,3,2,0,0,1,0,0,3,2,0,5,0,0,2,2,3,1,1
nm0050332,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0050618,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
nm0051808,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0051972,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
nm0052520,1,2,3,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0
nm0052944,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
nm0052964,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0
nm0053190,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
nm0053228,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0
nm0053484,1,2,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0
nm0054713,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,1,0,0
nm0055726,1,1,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0
nm0055937,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0056187,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0056217,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0
nm0057157,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
nm0057381,1,3,2,4,1,0,0,0,4,0,0,2,0,0,0,0,0,0
nm0057398,1,0,0,0,3,2,0,1,0,0,0,0,1,1,1,1,0,0
nm0058129,0,0,0,0,3,0,0,2,0,0,0,1,0,3,0,0,0,0
nm0058302,1,0,0,1,2,0,0,2,0,0,0,3,0,2,0,1,0,0
nm0058905,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
nm0059026,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
nm0059493,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
nm0059553,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0
nm0060103,0,1,0,0,3,1,0,10,1,0,0,0,0,6,0,2,0,0
nm0061284,0,0,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0
nm0061337,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
nm0061829,2,3,1,1,0,0,0,1,0,0,1,0,0,0,2,2,0,0
nm0063165,0,0,2,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0063511,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0
nm0063566,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
nm0063785,1,0,0,0,0,3,0,2,0,0,0,0,1,0,0,3,0,0
nm0063953,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
nm0064181,6,6,0,0,2,1,0,3,4,0,1,0,0,0,1,4,1,1
nm0064479,1,2,0,0,4,1,0,4,0,0,0,0,0,3,1,1,0,0
nm0064556,0,0,0,0,6,1,0,0,0,0,3,0,0,0,0,0,0,0
nm0065442,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0
nm0065847,3,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0
nm0066243,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0
nm0066764,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0
nm0066851,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0066939,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,1,0,0
nm0067103,1,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
nm0067308,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
nm0067457,2,0,0,0,0,0,0,0,2,0,2,0,1,0,1,2,0,0
nm0067619,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0
nm0067676,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0
nm0068183,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0068650,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4
nm0069282,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
nm0069547,1,1,0,0,3,1,0,2,1,0,0,0,0,1,1,0,0,0
nm0070152,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
nm0070159,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0070361,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0
nm0070368,1,3,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0070566,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0
nm0070660,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0070676,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0070948,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1
nm0071657,0,1,0,0,0,0,0,5,1,1,1,0,4,0,0,6,0,0
nm0071790,3,3,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0
nm0072639,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0
nm0073394,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0073688,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0073850,1,3,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0074184,2,1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0074488,0,0,0,0,3,0,0,1,0,0,0,1,0,4,0,0,0,0
nm0075015,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0075528,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
nm0075727,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0075834,3,2,0,0,0,0,0,3,0,0,0,0,0,1,4,2,0,0
nm0075849,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0075859,0,3,5,6,0,1,0,2,1,0,0,2,0,0,0,0,0,0
nm0076111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0076166,3,2,0,1,1,0,0,2,2,0,1,0,1,1,0,1,1,0
nm0076602,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0
nm0076791,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0
nm0076814,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0
nm0077062,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0077159,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,2,1
nm0077171,4,1,0,0,0,1,0,0,1,0,1,0,0,1,1,3,0,0
nm0078203,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0
nm0078897,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0080120,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0080135,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
nm0081179,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
nm0081189,0,0,0,0,0,3,0,4,0,0,1,0,2,0,0,4,0,0
nm0081433,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
nm0081540,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0
nm0082759,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0082802,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0083348,1,3,4,5,3,0,0,2,1,0,0,0,0,0,2,0,0,0
nm0083742,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
nm0084190,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
nm0084334,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0085257,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0085736,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
nm0087861,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,1,0,0
nm0087904,0,0,0,0,8,4,1,0,1,0,0,0,0,3,1,0,0,0
nm0088097,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0088479,1,0,0,0,1,1,0,3,0,0,0,1,0,0,0,1,1,0
nm0088645,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,2,0,0
nm0088955,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0
nm0089169,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
nm0089237,0,1,1,2,2,0,0,1,1,0,0,1,0,1,0,0,0,0
nm0089637,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,1,0
nm0089676,1,3,2,2,6,1,0,1,0,0,1,0,0,0,1,0,1,0
nm0089742,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0089940,0,1,4,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0
nm0090151,6,3,0,0,6,3,0,3,0,0,1,0,0,0,1,2,0,0
nm0090213,0,0,0,0,4,1,0,2,0,0,1,2,0,2,0,0,1,0
nm0090840,0,0,0,1,0,0,0,3,1,0,2,0,0,1,0,1,0,0
nm0091076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
nm0091200,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
nm0091213,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
nm0091899,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0092018,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,1
nm0092063,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
nm0092267,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,3,0,0
nm0092268,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,3,0,0
nm0092578,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,3,0,0
nm0092658,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
nm0093328,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
nm0093397,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
nm0093560,5,3,0,1,0,1,0,3,2,0,1,0,0,0,4,6,0,0
nm0093927,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
nm0094435,1,0,0,0,1,2,0,5,0,0,1,0,2,0,2,3,0,0
nm0094558,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
nm0095460,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
nm0096897,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0
nm0097079,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0
nm0097544,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
nm0099541,7,2,0,0,0,0,0,4,0,0,0,0,0,0,8,1,1,0
nm0100597,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,3,0,0
nm0101115,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,2
nm0101625,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
nm0101639,0,0,0,1,3,1,0,4,1,0,0,1,0,1,1,0,0,0
nm0101991,2,7,0,0,0,1,0,3,8,0,1,0,0,0,0,2,0,0
nm0102722,0,2,0,1,2,3,0,11,0,1,3,0,4,3,0,4,0,0
nm0102818,1,1,0,1,6,0,0,6,0,1,0,0,0,8,1,1,0,0
nm0102824,1,2,0,0,1,2,0,0,0,2,0,0,1,0,1,0,0,2
nm0103488,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
nm0103702,1,1,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
nm0103744,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0103804,2,3,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0
nm0104335,5,2,0,0,0,2,0,1,1,0,0,0,1,0,3,4,0,0
nm0104973,4,0,0,0,0,3,0,2,0,0,0,0,1,0,0,3,0,1
nm0105169,0,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0106505,0,1,0,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0
nm0106563,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0106764,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0
nm0107774,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,0
nm0108132,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0108273,3,2,1,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0
nm0108595,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
nm0108613,0,0,0,0,4,0,0,1,0,0,0,0,1,2,1,0,0,0
nm0108634,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0
nm0108745,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0
nm0109205,0,0,3,3,0,0,0,0,1,0,0,2,0,1,0,0,0,0
nm0109300,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0109359,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0110293,0,1,3,3,0,0,0,2,0,0,0,2,0,1,0,0,0,0
nm0110294,0,1,3,3,0,0,0,2,0,0,0,2,0,1,0,0,0,0
nm0110591,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,1,0,0
nm0110778,2,0,0,0,0,1,0,0,1,0,2,0,1,0,0,2,0,0
nm0110791,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0110958,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
nm0111313,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
nm0111576,0,0,0,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0
nm0111577,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0111845,1,0,0,0,4,0,0,3,1,0,0,0,1,5,0,0,0,0
nm0112218,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,1,0,1
nm0112459,0,0,0,0,6,0,0,3,0,0,0,0,0,4,0,0,0,0
nm0113005,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0113689,1,0,0,0,1,2,0,2,0,0,0,0,0,2,0,1,1,1
nm0115192,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
nm0115218,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
nm0115224,0,0,0,0,0,0,0,2,1,1,1,0,1,2,0,1,0,0
nm0115310,2,3,1,1,0,1,0,6,1,0,0,0,0,0,1,2,2,0
nm0115669,0,0,0,0,7,0,0,1,1,0,0,0,0,3,0,0,1,0
nm0116663,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0117068,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0
nm0118224,2,2,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,0
nm0118227,1,0,0,0,4,0,0,5,1,0,0,0,0,5,0,1,1,0
nm0118333,0,1,3,2,2,0,0,1,1,0,0,2,0,2,0,0,0,0
nm0118649,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0118758,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
nm0119423,0,3,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0119542,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
nm0120483,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
nm0120816,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
nm0121789,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
nm0122334,3,3,5,3,1,1,0,0,3,0,0,0,0,0,2,0,0,0
nm0122335,1,0,0,0,0,1,0,3,1,0,1,0,0,2,0,1,0,0
nm0122364,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0122446,2,1,0,0,0,5,0,4,0,3,0,0,0,0,0,3,1,1
nm0122484,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0122653,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0122741,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
nm0122787,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0122950,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0123174,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
nm0123194,1,3,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0
nm0123221,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0
nm0123242,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0
nm0123666,1,5,6,6,6,0,0,0,1,0,0,0,0,1,0,0,0,0
nm0124002,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
nm0124299,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0
nm0125060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nm0125336,2,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0
nm0125358,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
nm0125706,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0125803,0,2,0,0,9,0,0,1,1,0,0,0,0,3,0,0,0,0
nm0126096,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
nm0127373,0,0,0,0,8,0,0,1,1,0,0,0,0,2,0,0,0,0
nm0127690,0,0,0,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0
nm0128906,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,2,0,0
nm0128997,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
